opt_rank,opt_img,opt_name,opt_minNum,opt_maxNum,opt_age,opt_time,opt_genre,opt_tag1,opt_tag2,opt_tag3
27,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/08/22/3000159651/36744538-59a6-444f-90ef-b8f64a558d46.jpg,로보77,2,8,8,30,카드,카드,숫자,사고력
28,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/29/3013990941/1b811233-3ebf-4c75-9626-e2892182767c.jpg,서펜티나,2,5,4,15,전략,카드,그림,퍼즐
29,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/08/04/19/0/aaa69482-dde3-42e4-8ef1-217d2023a14b.jpg,흔한남매 방탈출,2,4,6,30,전략,방탈출,카드,룰렛
30,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/147396709493125-2ae73463-13b6-4fa5-9c93-2879b25fa6a0.jpg,루빅스 레이스,2,2,7,15,퍼즐,퍼즐,순발력,타일
31,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/10/15/19/7/ccc7cf27-0328-4b34-87ad-428b3cf03f8d.jpg,심술쟁이 고양이,2,4,4,15,가족,어린이,파티,완구
32,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/08/22/3050706271/b8f22f88-44cb-499a-8e37-c4e737c874ab.jpg,텔레스트레이션,4,8,8,20,전략,그림,점수내기,사고력
33,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/30/3304015405/59e26fe6-34e0-474f-9fb9-1ecb87efe13f.jpg,폭탄돌리기,2,12,5,15,가족,순발력,카드,그림
34,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a18e/c13b47d3074adac9390c92ef227b58ee94dbd284e0a520bb41b0de45be12.jpg,블로커스,2,4,8,20,전략,사고력,완구,퍼즐
35,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/174260910176459-c3f1688e-2ae6-431d-b6af-2cb5686b61af.jpg,라온,2,4,5,10,가족,사고력,타일,순발력
36,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/10/12/12/0/916f68a4-042e-4677-abab-0e232602e230.jpg,미미월드 포켓몬 퀴즈배틀,2,4,8,15,가족,순발력,완구,점수내기
37,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1126656488264341-c7af30f1-2ce4-4b33-8095-a9afd34ef268.jpg,텀블링몽키,2,4,5,30,가족,파티,조작,주사위
38,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/30/3014518091/b5bf203a-93f7-4f39-a5fa-a27d285805a6.jpg,아이워너 미니 에어 하키게임 대형,2,2,10,15,가족,완구,순발력,2인추천
39,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2117/9c613b60827fccaf5254f580ebc4cab1e868e838e3f2fe461379e97ad2c5.jpg,부루마불 프렌즈,2,4,7,90,전략,클래식,부루마블,주사위
